"Seq ID",GeneID,"Locus Tag","Feature Type","Total Reads Mapping","Total RPKM (Reads Mapped)","Total Reads Mapping (Reads Mapped to Gene Models)","Total RPKM (Reads Mapped to Gene Models)","Sense Reads Mapping","Sense RPKM (Reads Mapped)","Sense RPKM (Reads Mapped to Gene Models)","Antisense Reads Mapping","Antisense RPKM (Reads Mapped)","Antisense RPKM (Reads Mapped to Gene Models)"
17,ENSG00000126353,,,3,0.0135178828975847,0,0,1,0.00450596096586156,,2,0.00901192193172311,
5,ENSG00000134061,,,1835,12.3463748715934,0,0,934,6.28420388559577,,901,6.06217098599763,
5,ENSG00000164400,,,14,0.390809687673261,0,0,8,0.223319821527578,,6,0.167489866145683,
17,ENSG00000108342,,,7,0.0151027258010453,0,0,3,0.00647259677187654,,4,0.00863012902916872,
4,ENSG00000081041,,,148,1.36719354628067,0,0,75,0.692834567371959,,73,0.674358978908706,
5,ENSG00000113302,,,2,0.0157978696848877,0,0,1,0.00789893484244383,,1,0.00789893484244383,
6,ENSG00000226979,,,8,0.0300511558075631,0,0,4,0.0150255779037816,,4,0.0150255779037816,
1,ENSG00000162711,,,472,0.392504868727686,0,0,237,0.197084012475554,,235,0.195420856252132,
17,ENSG00000007171,,,0,0,0,0,0,,,0,,
1,ENSG00000169403,,,2983,6.35085420150601,0,0,1491,3.17436259284126,,1492,3.17649160866476,
7,ENSG00000006128,,,0,0,0,0,0,,,0,,
6,ENSG00000232810,,,436,5.67054705912923,0,0,206,2.67920342701977,,230,2.99134363210946,
1,ENSG00000186827,,,57,0.3932451632015,0,0,28,0.193173062625298,,29,0.200072100576202,
19,ENSG00000127533,,,92,0.490105492688585,0,0,46,0.245052746344293,,46,0.245052746344293,
7,ENSG00000233038,,,90,0.300678919328977,0,0,47,0.157021213427354,,43,0.143657705901622,
X,ENSG00000240143,,,56,3.77016404578911,0,0,13,0.875216653486757,,43,2.89494739230235,
3,ENSG00000181631,,,148,1.16523302242747,0,0,74,0.582616511213737,,74,0.582616511213737,
19,ENSG00000134830,,,145,0.596845789339569,0,0,73,0.300480983598542,,72,0.296364805741027,
16,ENSG00000140955,,,0,0,0,0,0,,,0,,
